
Start NMF for gFN using PyTorch at 2023-09-03 08:34:20

    Iter = 129: LogL: 1023381.3928931991, dataFit: 785241.9451899133, spaLap: 49290.62258001992, L21: 188848.82512326594, ardU: 0
    Iter = 130: LogL: 1019852.2862419031, dataFit: 781144.127652382, spaLap: 50012.64332559925, L21: 188695.51526392176, ardU: 0
    Iter = 131: LogL: 1016342.4481233037, dataFit: 777042.6889620749, spaLap: 50754.78914337115, L21: 188544.97001785765, ardU: 0
    Iter = 132: LogL: 1012847.6563040637, dataFit: 772929.4513943437, spaLap: 51521.35047735184, L21: 188396.85443236824, ardU: 0
    Iter = 133: LogL: 1009361.6901475218, dataFit: 768800.1962496722, spaLap: 52310.6023097156, L21: 188250.891588134, ardU: 0
    Iter = 134: LogL: 1005881.4320994664, dataFit: 764651.697958202, spaLap: 53122.88836242839, L21: 188106.845778836, ardU: 0
    Iter = 135: LogL: 1002406.7085859396, dataFit: 760484.4768262709, spaLap: 53957.67912322555, L21: 187964.55263644314, ardU: 0
    Iter = 136: LogL: 998942.8425602521, dataFit: 756302.6035935173, spaLap: 54816.31107204562, L21: 187823.92789468917, ardU: 0
    Iter = 137: LogL: 995496.2256521068, dataFit: 752115.3788621853, spaLap: 55695.85777289032, L21: 187684.98901703113, ardU: 0
    Iter = 138: LogL: 992071.2511860088, dataFit: 747934.039198705, spaLap: 56589.386605189226, L21: 187547.82538211456, ardU: 0
    Iter = 139: LogL: 988684.7349337852, dataFit: 743769.4298482334, spaLap: 57502.75611911128, L21: 187412.54896644043, ardU: 0
    Iter = 140: LogL: 985352.8678189695, dataFit: 739640.6932075795, spaLap: 58432.793868056906, L21: 187279.38074333296, ardU: 0
    Iter = 141: LogL: 982084.5307431039, dataFit: 735567.0758522779, spaLap: 59368.87700950021, L21: 187148.57788132582, ardU: 0
    Iter = 142: LogL: 978882.0152888459, dataFit: 731562.8420193283, spaLap: 60298.81962959719, L21: 187020.3536399205, ardU: 0
    Iter = 143: LogL: 975755.8413260963, dataFit: 727637.049888281, spaLap: 61223.98035167411, L21: 186894.8110861412, ardU: 0
    Iter = 144: LogL: 972725.341235552, dataFit: 723803.9677276055, spaLap: 62149.299160255236, L21: 186772.0743476913, ardU: 0
    Iter = 145: LogL: 969791.0558351498, dataFit: 720077.2234759193, spaLap: 63061.57363225859, L21: 186652.25872697198, ardU: 0
    Iter = 146: LogL: 966952.3109333907, dataFit: 716462.8080811579, spaLap: 63954.15447290927, L21: 186535.34837932355, ardU: 0
    Iter = 147: LogL: 964204.5724016381, dataFit: 712963.2337446226, spaLap: 64820.106186847326, L21: 186421.23247016824, ardU: 0
    Iter = 148: LogL: 961538.6322211751, dataFit: 709576.3897108992, spaLap: 65652.55833790315, L21: 186309.68417237286, ardU: 0
    Iter = 149: LogL: 958942.8516597303, dataFit: 706297.6136070886, spaLap: 66444.84435473848, L21: 186200.39369790332, ardU: 0
    Iter = 150: LogL: 956416.2069761497, dataFit: 703116.8181526702, spaLap: 67206.43824541754, L21: 186092.95057806198, ardU: 0
    Iter = 151: LogL: 953956.0853249626, dataFit: 700031.6600043029, spaLap: 67937.41749200491, L21: 185987.0078286548, ardU: 0
    Iter = 152: LogL: 951557.6540914102, dataFit: 697038.174370575, spaLap: 68637.23461809866, L21: 185882.2451027365, ardU: 0
    Iter = 153: LogL: 949214.9588943531, dataFit: 694131.853361244, spaLap: 69304.74784220784, L21: 185778.35769090126, ardU: 0
    Iter = 154: LogL: 946920.8110485435, dataFit: 691306.8691137194, spaLap: 69938.88462630616, L21: 185675.05730851792, ardU: 0
    Iter = 155: LogL: 944649.9171006237, dataFit: 688556.4243930427, spaLap: 70521.42791997951, L21: 185572.06478760147, ardU: 0
    Iter = 156: LogL: 942383.9405248014, dataFit: 685865.444051901, spaLap: 71049.45881316553, L21: 185469.03765973484, ardU: 0
    Iter = 157: LogL: 940156.2326774545, dataFit: 683219.5136373971, spaLap: 71571.05418358976, L21: 185365.66485646763, ardU: 0
    Iter = 158: LogL: 937822.3739725365, dataFit: 680626.9011738976, spaLap: 71933.55770007899, L21: 185261.91509855996, ardU: 0
    Iter = 159: LogL: 935452.273504604, dataFit: 678029.39434604, spaLap: 72265.88587446473, L21: 185156.99328409927, ardU: 0
    Iter = 160: LogL: 933118.0560392805, dataFit: 675432.3690739289, spaLap: 72634.87620791126, L21: 185050.81075744025, ardU: 0
    Iter = 161: LogL: 930791.0977955933, dataFit: 672861.7626941458, spaLap: 72985.6817161998, L21: 184943.65338524766, ardU: 0
    Iter = 162: LogL: 928462.5302282989, dataFit: 670311.609740646, spaLap: 73315.46046612537, L21: 184835.46002152748, ardU: 0
    Iter = 163: LogL: 926171.0806388721, dataFit: 667775.2670269872, spaLap: 73669.70354277884, L21: 184726.11006910604, ardU: 0
    Iter = 164: LogL: 923917.4894233242, dataFit: 665268.5539845948, spaLap: 74033.13213864478, L21: 184615.80330008463, ardU: 0
    Iter = 165: LogL: 921694.8374262055, dataFit: 662796.0725381485, spaLap: 74394.11079684815, L21: 184504.65409120888, ardU: 0
    Iter = 166: LogL: 919504.0344751651, dataFit: 660356.7697895223, spaLap: 74754.57459620188, L21: 184392.6900894409, ardU: 0
    Iter = 167: LogL: 917335.7836668887, dataFit: 657949.9293237036, spaLap: 75105.93862845145, L21: 184279.91571473365, ardU: 0
    Iter = 168: LogL: 915157.3652008061, dataFit: 655573.168870253, spaLap: 75417.8975872948, L21: 184166.29874325826, ardU: 0
    Iter = 169: LogL: 913011.9202339038, dataFit: 653209.8791424205, spaLap: 75750.45573074483, L21: 184051.58536073842, ardU: 0
    Iter = 170: LogL: 910901.2904124345, dataFit: 650873.2801483427, spaLap: 76092.11995865012, L21: 183935.8903054417, ardU: 0
    Iter = 171: LogL: 908824.9730965936, dataFit: 648566.2505432757, spaLap: 76439.47385835247, L21: 183819.24869496535, ardU: 0
    Iter = 172: LogL: 906763.2037153207, dataFit: 646290.0978796567, spaLap: 76771.4365423244, L21: 183701.66929333957, ardU: 0
    Iter = 173: LogL: 904727.5996106481, dataFit: 644033.7515628879, spaLap: 77110.91441426585, L21: 183582.93363349428, ardU: 0
    Iter = 174: LogL: 902722.3278775909, dataFit: 641802.714868469, spaLap: 77456.57379291253, L21: 183463.03921620932, ardU: 0
    Iter = 175: LogL: 900746.0604275725, dataFit: 639599.3181198506, spaLap: 77804.73177849907, L21: 183342.01052922272, ardU: 0
    Iter = 176: LogL: 898798.6741062683, dataFit: 637423.5374135536, spaLap: 78155.27933365983, L21: 183219.857359055, ardU: 0
    Iter = 177: LogL: 896879.5104783156, dataFit: 635275.6785728927, spaLap: 78507.22453935194, L21: 183096.60736607114, ardU: 0
    Iter = 178: LogL: 894987.1202779894, dataFit: 633155.6494953715, spaLap: 78859.17206609003, L21: 182972.29871652785, ardU: 0
    Iter = 179: LogL: 893121.8342980335, dataFit: 631062.8946059343, spaLap: 79211.96669035763, L21: 182846.97300174157, ardU: 0
    Iter = 180: LogL: 891251.299929052, dataFit: 628997.7929542675, spaLap: 79532.80618683565, L21: 182720.7007879489, ardU: 0
    Iter = 181: LogL: 889391.7015127557, dataFit: 626947.8882670754, spaLap: 79850.402572555, L21: 182593.4106731253, ardU: 0
