
Start NMF for gFN using NumPy at 2023-08-29 10:32:54

    Iter = 153: LogL: 926076.9402991704, dataFit: 676031.3686294353, spaLap: 66014.05324576574, L21: 184031.51842396942, ardU: 0
    Iter = 154: LogL: 922703.9613355265, dataFit: 672140.739082024, spaLap: 66733.28745224427, L21: 183829.9348012583, ardU: 0
    Iter = 155: LogL: 919351.040812871, dataFit: 668257.9399680366, spaLap: 67466.17258136345, L21: 183626.92826347088, ardU: 0
    Iter = 156: LogL: 915984.1415775609, dataFit: 664393.0837557203, spaLap: 68168.03537523486, L21: 183423.0224466057, ardU: 0
    Iter = 157: LogL: 912651.714084565, dataFit: 660539.0478779154, spaLap: 68894.13029181302, L21: 183218.5359148366, ardU: 0
    Iter = 158: LogL: 909366.0948886758, dataFit: 656713.3070650466, spaLap: 69638.71684225825, L21: 183014.07098137098, ardU: 0
    Iter = 159: LogL: 906124.4916420052, dataFit: 652928.1119995052, spaLap: 70386.16067431225, L21: 182810.21896818766, ardU: 0
    Iter = 160: LogL: 902935.063902517, dataFit: 649186.9086950547, spaLap: 71140.72332564839, L21: 182607.43188181394, ardU: 0
    Iter = 161: LogL: 899804.5545632466, dataFit: 645496.6683176388, spaLap: 71901.73379451755, L21: 182406.15245109014, ardU: 0
    Iter = 162: LogL: 896748.506765918, dataFit: 641865.6611266935, spaLap: 72676.01822635745, L21: 182206.8274128671, ardU: 0
    Iter = 163: LogL: 893773.6254798698, dataFit: 638307.4693679027, spaLap: 73456.11046038038, L21: 182010.0456515866, ardU: 0
    Iter = 164: LogL: 890878.8676941176, dataFit: 634831.0710069988, spaLap: 74231.4670986028, L21: 181816.32958851598, ardU: 0
    Iter = 165: LogL: 888056.2232440271, dataFit: 631441.0006395809, spaLap: 74989.13350889683, L21: 181626.08909554943, ardU: 0
    Iter = 166: LogL: 885295.881137462, dataFit: 628136.9148441517, spaLap: 75719.38630249062, L21: 181439.5799908197, ardU: 0
    Iter = 167: LogL: 882614.3817262304, dataFit: 624919.7168692121, spaLap: 76437.59615823135, L21: 181257.0686987869, ardU: 0
    Iter = 168: LogL: 880025.7543932324, dataFit: 621794.9702387061, spaLap: 77151.92996183675, L21: 181078.85419268953, ardU: 0
    Iter = 169: LogL: 877529.2985394001, dataFit: 618769.289179052, spaLap: 77854.80267220955, L21: 180905.20668813854, ardU: 0
    Iter = 170: LogL: 875123.7919803287, dataFit: 615844.8843873562, spaLap: 78542.60844875267, L21: 180736.2991442199, ardU: 0
    Iter = 171: LogL: 872805.6762945029, dataFit: 613022.2316224951, spaLap: 79211.21247258635, L21: 180572.23219942144, ardU: 0
    Iter = 172: LogL: 870569.2914003154, dataFit: 610299.6782795938, spaLap: 79856.58256450093, L21: 180413.0305562206, ardU: 0
    Iter = 173: LogL: 868397.2712555574, dataFit: 607673.6297287527, spaLap: 80465.02894454301, L21: 180258.6125822618, ardU: 0
    Iter = 174: LogL: 866283.3103918676, dataFit: 605134.8291497724, spaLap: 81039.75464972782, L21: 180108.72659236743, ardU: 0
    Iter = 175: LogL: 864234.5408362695, dataFit: 602675.9175691007, spaLap: 81595.52487219467, L21: 179963.0983949741, ardU: 0
    Iter = 176: LogL: 862249.596144127, dataFit: 600297.1953489411, spaLap: 82130.83880670535, L21: 179821.5619884805, ardU: 0
    Iter = 177: LogL: 860326.9949470228, dataFit: 597995.9780156633, spaLap: 82647.1013435206, L21: 179683.91558783888, ardU: 0
    Iter = 178: LogL: 858443.1845693093, dataFit: 595769.3074435154, spaLap: 83123.90403751448, L21: 179549.97308827948, ardU: 0
    Iter = 179: LogL: 856588.8815296963, dataFit: 593603.8843735558, spaLap: 83565.65979599192, L21: 179419.33736014858, ardU: 0
    Iter = 180: LogL: 854736.3788053697, dataFit: 591491.7259884947, spaLap: 83952.99557500648, L21: 179291.6572418685, ardU: 0
    Iter = 181: LogL: 852918.8924034195, dataFit: 589420.3544871898, spaLap: 84331.93220845664, L21: 179166.605707773, ardU: 0
    Iter = 182: LogL: 851125.6193463012, dataFit: 587394.1838585134, spaLap: 84687.40513819456, L21: 179044.0303495933, ardU: 0
    Iter = 183: LogL: 849369.5615766748, dataFit: 585408.0704524731, spaLap: 85037.85140357993, L21: 178923.6397206218, ardU: 0
    Iter = 184: LogL: 847646.3784619945, dataFit: 583464.9545871306, spaLap: 85376.13981341053, L21: 178805.28406145336, ardU: 0
    Iter = 185: LogL: 845920.993600092, dataFit: 581562.8050392191, spaLap: 85669.4113602851, L21: 178688.77720058785, ardU: 0
    Iter = 186: LogL: 844224.2903781624, dataFit: 579687.0197629046, spaLap: 85963.5218787427, L21: 178573.74873651503, ardU: 0
    Iter = 187: LogL: 842559.018249684, dataFit: 577843.9036885215, spaLap: 86255.03197603031, L21: 178460.0825851322, ardU: 0
    Iter = 188: LogL: 840923.7054869974, dataFit: 576034.984734612, spaLap: 86541.06905993559, L21: 178347.65169244973, ardU: 0
    Iter = 189: LogL: 839318.141756504, dataFit: 574259.7892634821, spaLap: 86822.02768414209, L21: 178236.32480887973, ardU: 0
    Iter = 190: LogL: 837741.2867259259, dataFit: 572518.1256486919, spaLap: 87097.16010470848, L21: 178126.00097252542, ardU: 0
    Iter = 191: LogL: 836192.2869959623, dataFit: 570809.2813093882, spaLap: 87366.41652892191, L21: 178016.58915765214, ardU: 0
    Iter = 192: LogL: 834670.4933249301, dataFit: 569132.6057561485, spaLap: 87629.87365896662, L21: 177908.01390981502, ardU: 0
    Iter = 193: LogL: 833175.4330520675, dataFit: 567487.5373240667, spaLap: 87887.67951946722, L21: 177800.21620853362, ardU: 0
    Iter = 194: LogL: 831706.7892204449, dataFit: 565873.6303771741, spaLap: 88140.00527412556, L21: 177693.15356914516, ardU: 0
    Iter = 195: LogL: 830264.266372258, dataFit: 564290.5526374741, spaLap: 88386.91420489896, L21: 177586.79952988483, ardU: 0
    Iter = 196: LogL: 828845.8937860563, dataFit: 562738.035939649, spaLap: 88626.71594311543, L21: 177481.14190329195, ardU: 0
    Iter = 197: LogL: 827453.6153312542, dataFit: 561215.2668334679, spaLap: 88862.17983547624, L21: 177376.16866231005, ardU: 0
    Iter = 198: LogL: 826087.5729237177, dataFit: 559722.6300663142, spaLap: 89093.0421080267, L21: 177271.90074937668, ardU: 0
    Iter = 199: LogL: 824747.8827349346, dataFit: 558260.187889421, spaLap: 89319.32891142157, L21: 177168.36593409197, ardU: 0
    Iter = 200: LogL: 823434.6845006251, dataFit: 556827.9835106917, spaLap: 89541.10135965457, L21: 177065.59963027888, ardU: 0
    Iter = 201: LogL: 822147.6496435467, dataFit: 555426.0377843035, spaLap: 89757.96846735274, L21: 176963.64339189045, ardU: 0
    Iter = 202: LogL: 820887.202448101, dataFit: 554054.1404409998, spaLap: 89970.52255125408, L21: 176862.53945584723, ardU: 0
    Iter = 203: LogL: 819653.5768115212, dataFit: 552712.4110026939, spaLap: 90178.829468971, L21: 176762.3363398563, ardU: 0
